Senaryo;SpinNo;Bahis;BakiyeOnce;BakiyeSonra;Odenen;Cluster;Tumble;CarpanDeger;CarpanKaynak;Bonus;BonusOdenen;ArdKayipOnce;Kacis;Kategori;SpinTipi;SureMs;ClusterDetay
"0. Normal Oyun";1;100;10000;9900;0;0;0;0;-;False;0;0;False;Normal;Normal;1;"-"
"0. Normal Oyun";2;100;9900;9800;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";3;100;9800;9700;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";4;100;9700;9600;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";5;100;9600;9520;20;1;1;0;-;False;0;0;False;Normal;Normal;0;"S0x9=20TL"
"0. Normal Oyun";6;100;9520;9470;50;1;1;0;-;False;0;0;False;Normal;Normal;0;"S0x11=50TL"
"0. Normal Oyun";7;100;9470;9400;30;1;1;0;-;False;0;0;False;Normal;Normal;0;"S1x8=30TL"
"0. Normal Oyun";8;100;9400;9330;30;1;1;0;-;False;0;0;False;Normal;Normal;0;"S1x8=30TL"
"0. Normal Oyun";9;100;9330;9230;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";10;100;9230;9130;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";11;100;9130;10020;990;2;2;8;DOGAL;False;0;0;False;MegaWin;Normal;0;"S1x8=30TL | S4x9=60TL"
"0. Normal Oyun";12;100;10020;10030;110;2;2;0;-;False;0;0;False;Normal;Normal;0;"S0x9=20TL | S3x16=90TL"
"0. Normal Oyun";13;100;10030;9930;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";14;100;9930;9850;20;1;1;0;-;False;0;0;False;Normal;Normal;0;"S0x8=20TL"
"0. Normal Oyun";15;100;9850;9750;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";16;100;9750;9650;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";17;100;9650;9550;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";18;100;9550;9450;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";19;100;9450;9460;110;3;3;0;-;False;0;0;False;Normal;Normal;0;"S3x8=50TL | S3x8=40TL | S2x8=20TL"
"0. Normal Oyun";20;100;9460;9360;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";21;100;9360;9260;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";22;100;9260;9160;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";23;100;9160;9060;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";24;100;9060;9240;280;3;3;0;-;True;140;0;False;BigWin;Bonus;0;"S0x9=20TL | S2x8=40TL | S5x9=80TL"
"0. Normal Oyun";25;100;9240;9140;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";26;100;9140;9040;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";27;100;9040;9200;260;2;2;2;DOGAL;False;0;0;False;BigWin;Normal;0;"S1x9=30TL | S6x9=100TL"
"0. Normal Oyun";28;100;9200;9100;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";29;100;9100;9000;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";30;100;9000;9200;300;1;1;10;DOGAL;False;0;0;False;BigWin;Normal;0;"S1x8=30TL"
"1. Alıştırma";1;100;10000;10400;500;1;1;0;-;False;0;0;False;MegaWin;Normal;11;"S7x10=500TL"
"1. Alıştırma";2;100;10400;10730;430;6;6;0;-;False;0;0;False;BigWin;Normal;3;"S5x10=200TL | S5x9=40TL | S5x10=50TL | S5x8=30TL | S5x8=60TL | S5x9=50TL"
"1. Alıştırma";3;100;10730;11030;400;1;1;2;DOGAL;False;0;0;False;BigWin;Normal;2;"S5x10=200TL"
"1. Alıştırma";4;100;11030;11430;500;1;1;5;DOGAL;False;0;0;False;MegaWin;Normal;1;"S0x13=100TL"
"1. Alıştırma";5;100;11430;11770;440;2;2;2;DOGAL;False;0;0;False;BigWin;Normal;1;"S0x11=50TL | S0x11=60TL"
"1. Alıştırma";6;100;11770;12070;400;1;1;5;DOGAL;False;0;0;False;BigWin;Normal;1;"S2x11=80TL"
"1. Alıştırma";7;100;12070;12470;500;1;1;0;-;False;0;0;False;MegaWin;Normal;2;"S5x13=500TL"
"1. Alıştırma";8;100;12470;12770;400;1;1;3;DOGAL;False;0;0;False;BigWin;Normal;1;"S0x10=50TL"
"1. Alıştırma";9;100;12770;13070;400;1;1;2;DOGAL;False;0;0;False;BigWin;Normal;6;"S5x10=200TL"
"1. Alıştırma";10;100;13070;13470;500;1;1;0;-;False;0;0;False;MegaWin;Normal;8;"S5x14=500TL"
"1. Alıştırma";11;100;13470;13870;500;1;1;5;DOGAL;False;0;0;False;MegaWin;Normal;8;"S3x10=100TL"
"1. Alıştırma";12;100;13870;14270;500;1;1;0;-;False;0;0;False;MegaWin;Normal;1;"S5x12=500TL"
"1. Alıştırma";13;100;14270;14570;400;1;1;2;DOGAL;False;0;0;False;BigWin;Normal;3;"S6x8=100TL"
"1. Alıştırma";14;100;14570;14970;500;1;1;0;-;False;0;0;False;MegaWin;Normal;2;"S7x10=500TL"
"1. Alıştırma";15;100;14970;15370;500;1;1;0;-;False;0;0;False;MegaWin;Normal;1;"S7x10=500TL"
"1. Alıştırma";16;100;15370;15770;500;1;1;0;-;False;0;0;False;MegaWin;Normal;1;"S5x12=500TL"
"1. Alıştırma";17;100;15770;16170;500;1;1;0;-;False;0;0;False;MegaWin;Normal;1;"S7x11=500TL"
"1. Alıştırma";18;100;16170;16570;500;1;1;0;-;False;0;0;False;MegaWin;Normal;1;"S7x10=500TL"
"1. Alıştırma";19;100;16570;16970;500;1;1;0;-;False;0;0;False;MegaWin;Normal;4;"S7x10=500TL"
"1. Alıştırma";20;100;16970;17370;500;1;1;5;DOGAL;False;0;0;False;MegaWin;Normal;1;"S0x12=100TL"
"1. Alıştırma";21;100;17370;17770;500;1;1;5;DOGAL;False;0;0;False;MegaWin;Normal;1;"S0x13=100TL"
"1. Alıştırma";22;100;17770;18170;500;1;1;0;-;False;0;0;False;MegaWin;Normal;1;"S7x11=500TL"
"1. Alıştırma";23;100;18170;18550;480;1;1;3;DOGAL;False;0;0;False;BigWin;Normal;1;"S4x9=60TL"
"1. Alıştırma";24;100;18550;18950;500;1;1;0;-;False;0;0;False;MegaWin;Normal;1;"S7x10=500TL"
"1. Alıştırma";25;100;18950;19250;400;5;5;0;-;False;0;0;False;BigWin;Normal;5;"S7x9=150TL | S7x8=60TL | S7x9=30TL | S7x9=40TL | S7x18=120TL"
"1. Alıştırma";26;100;19250;19550;400;1;1;2;DOGAL;False;0;0;False;BigWin;Normal;4;"S0x12=100TL"
"1. Alıştırma";27;100;19550;19950;500;1;1;0;-;False;0;0;False;MegaWin;Normal;4;"S5x12=500TL"
"1. Alıştırma";28;100;19950;20350;500;1;1;0;-;False;0;0;False;MegaWin;Normal;2;"S7x11=500TL"
"1. Alıştırma";29;100;20350;20750;500;1;1;0;-;False;0;0;False;MegaWin;Normal;1;"S7x11=500TL"
"1. Alıştırma";30;100;20750;21050;400;1;1;2;DOGAL;False;0;0;False;BigWin;Normal;2;"S5x11=200TL"
"2. Biraz Kazandıralım";1;100;10000;10620;720;2;2;5;DOGAL;False;0;0;False;MegaWin;Normal;5;"S0x10=50TL | S0x9=40TL"
