Senaryo;Spin;ToplamBahis;ToplamKazanc;NetKar;RTP%;CarpanDus%;ClusterPatla%;BonusTetik;MaxKazanc;MaxArdKayip;MaxArdKazanc;KacisTetik;OrtSureMs
0. Normal Oyun;30;3000;2200;-800;73,3;10,0;36,7;1;990;4;4;0;0,0
1. Alıştırma;30;3000;14050;11050;468,3;43,3;100,0;0;500;0;30;0;2,7
2. Biraz Kazandıralım;30;3000;14740;11740;491,3;43,3;100,0;0;800;0;30;0;1,5
3. Biraz Kaybettirelim;30;3000;910;-2090;30,3;0,0;70,0;0;80;2;6;0;0,2
