Senaryo;SpinNo;Bahis;BakiyeOnce;BakiyeSonra;Odenen;Cluster;Tumble;CarpanDeger;CarpanKaynak;Bonus;BonusOdenen;ArdKayipOnce;Kacis;Kategori;SpinTipi;SureMs;ClusterDetay
"0. Normal Oyun";1;100;10000;9920;20;1;1;0;-;False;0;0;False;Normal;Normal;4;"S0x9=20TL"
"0. Normal Oyun";2;100;9920;9920;100;2;2;0;-;False;0;0;False;Normal;Normal;0;"S2x8=40TL | S1x10=60TL"
"0. Normal Oyun";3;100;9920;9820;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";4;100;9820;9720;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";5;100;9720;9620;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";6;100;9620;9520;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";7;100;9520;9420;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";8;100;9420;9320;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";9;100;9320;9300;80;1;1;0;-;False;0;0;False;Normal;Normal;0;"S5x8=80TL"
"0. Normal Oyun";10;100;9300;9200;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";11;100;9200;9100;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";12;100;9100;9000;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";13;100;9000;8900;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";14;100;8900;8800;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";15;100;8800;8700;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";16;100;8700;8600;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";17;100;8600;8500;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";18;100;8500;8680;280;2;2;2;DOGAL;False;0;0;False;BigWin;Normal;1;"S2x16=70TL | S0x16=70TL"
"0. Normal Oyun";19;100;8680;8580;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
