Senaryo;SpinNo;Bahis;BakiyeOnce;BakiyeSonra;Odenen;Cluster;Tumble;CarpanDeger;CarpanKaynak;Bonus;BonusOdenen;ArdKayipOnce;Kacis;Kategori;SpinTipi;SureMs;ClusterDetay
"0. Normal Oyun";1;100;10000;9900;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";2;100;9900;9850;50;1;1;0;-;False;0;0;False;Normal;Normal;5;"S3x8=50TL"
"0. Normal Oyun";3;100;9850;9750;0;0;0;0;-;False;0;0;False;Normal;Normal;3;"-"
"0. Normal Oyun";4;100;9750;9650;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";5;100;9650;10450;900;1;1;10;DOGAL;False;0;0;False;MegaWin;Normal;0;"S0x10=50TL"
"0. Normal Oyun";6;100;10450;10350;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";7;100;10350;10250;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";8;100;10250;10150;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";9;100;10150;10160;110;3;3;0;-;False;0;0;False;Normal;Normal;0;"S3x8=50TL | S0x8=20TL | S2x8=40TL"
"0. Normal Oyun";10;100;10160;10060;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";11;100;10060;10030;70;2;2;0;-;False;0;0;False;Normal;Normal;0;"S3x8=50TL | S3x8=20TL"
"0. Normal Oyun";12;100;10030;9930;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";13;100;9930;10070;240;2;2;0;-;False;0;0;False;BigWin;Normal;0;"S2x17=190TL | S7x8=50TL"
"0. Normal Oyun";14;100;10070;9970;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";15;100;9970;9870;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";16;100;9870;9870;100;1;1;0;-;False;0;0;False;Normal;Normal;0;"S6x8=100TL"
"0. Normal Oyun";17;100;9870;9960;190;4;4;0;-;False;0;0;False;Normal;Normal;0;"S4x9=60TL | S4x8=30TL | S4x9=80TL | S0x8=20TL"
"0. Normal Oyun";18;100;9960;9860;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";19;100;9860;9760;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";20;100;9760;9660;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";21;100;9660;9960;400;1;1;0;-;True;350;0;False;BigWin;Bonus;0;"S3x8=50TL"
"0. Normal Oyun";22;100;9960;9860;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";23;100;9860;9840;80;1;1;0;-;False;0;0;False;Normal;Normal;0;"S5x8=80TL"
"0. Normal Oyun";24;100;9840;9740;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";25;100;9740;9640;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";26;100;9640;9540;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";27;100;9540;9440;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";28;100;9440;9400;60;1;1;0;-;False;0;0;False;Normal;Normal;0;"S4x8=60TL"
"0. Normal Oyun";29;100;9400;10220;920;0;0;0;-;True;920;0;False;MegaWin;Bonus;0;"-"
"0. Normal Oyun";30;100;10220;10120;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";31;100;10120;10540;520;1;1;8;DOGAL;False;0;0;False;MegaWin;Normal;0;"S2x8=40TL"
"0. Normal Oyun";32;100;10540;10560;120;2;2;2;DOGAL;False;0;0;False;Normal;Normal;0;"S0x8=20TL | S2x8=40TL"
"0. Normal Oyun";33;100;10560;10460;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";34;100;10460;11400;1040;2;2;3;DOGAL;False;0;0;False;MegaWin;Normal;0;"S4x8=60TL | S0x8=20TL"
"0. Normal Oyun";35;100;11400;11450;150;1;1;0;-;False;0;0;False;Normal;Normal;0;"S7x8=150TL"
"0. Normal Oyun";36;100;11450;11380;30;1;1;0;-;False;0;0;False;Normal;Normal;0;"S1x8=30TL"
"0. Normal Oyun";37;100;11380;11280;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";38;100;11280;11180;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";39;100;11180;11140;60;1;1;0;-;False;0;0;False;Normal;Normal;0;"S4x8=60TL"
"0. Normal Oyun";40;100;11140;11040;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";41;100;11040;10940;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";42;100;10940;11060;220;2;2;0;-;False;0;0;False;BigWin;Normal;0;"S0x9=20TL | S5x10=200TL"
"0. Normal Oyun";43;100;11060;10960;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";44;100;10960;11510;650;1;1;5;DOGAL;False;0;0;False;MegaWin;Normal;0;"S0x10=50TL"
"0. Normal Oyun";45;100;11510;11470;60;1;1;0;-;False;0;0;False;Normal;Normal;0;"S1x10=60TL"
"0. Normal Oyun";46;100;11470;11370;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";47;100;11370;11520;250;2;2;5;DOGAL;False;0;0;False;BigWin;Normal;0;"S0x8=20TL | S1x9=30TL"
"0. Normal Oyun";48;100;11520;11440;20;1;1;0;-;False;0;0;False;Normal;Normal;0;"S0x8=20TL"
"0. Normal Oyun";49;100;11440;11340;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";50;100;11340;11890;650;2;2;8;DOGAL;False;0;0;False;MegaWin;Normal;0;"S0x8=20TL | S0x9=30TL"
"0. Normal Oyun";51;100;11890;11790;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";52;100;11790;11690;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";53;100;11690;11590;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";54;100;11590;11490;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";55;100;11490;11390;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";56;100;11390;12970;1680;3;3;8;DOGAL;False;0;0;False;EpicWin;Normal;0;"S2x10=80TL | S2x10=100TL | S2x8=30TL"
"0. Normal Oyun";57;100;12970;12870;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";58;100;12870;12770;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";59;100;12770;13170;500;1;1;10;DOGAL;False;0;0;False;MegaWin;Normal;0;"S0x10=50TL"
"0. Normal Oyun";60;100;13170;13070;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";61;100;13070;12970;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";62;100;12970;12870;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";63;100;12870;12770;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";64;100;12770;12670;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";65;100;12670;12570;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";66;100;12570;12470;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";67;100;12470;12370;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";68;100;12370;12270;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";69;100;12270;12170;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";70;100;12170;13760;1690;1;1;10;DOGAL;False;0;0;False;EpicWin;Normal;0;"S2x18=130TL"
"0. Normal Oyun";71;100;13760;13840;180;3;3;0;-;False;0;0;False;Normal;Normal;0;"S2x8=40TL | S2x10=60TL | S2x8=80TL"
"0. Normal Oyun";72;100;13840;13800;60;1;1;0;-;False;0;0;False;Normal;Normal;0;"S2x16=60TL"
"0. Normal Oyun";73;100;13800;13700;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";74;100;13700;13600;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";75;100;13600;13700;200;1;1;2;DOGAL;False;0;0;False;BigWin;Normal;0;"S6x8=100TL"
"0. Normal Oyun";76;100;13700;13600;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";77;100;13600;13520;20;1;1;0;-;False;0;0;False;Normal;Normal;0;"S0x8=20TL"
"0. Normal Oyun";78;100;13520;13420;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";79;100;13420;13440;120;2;2;0;-;False;0;0;False;Normal;Normal;0;"S5x8=80TL | S2x8=40TL"
"0. Normal Oyun";80;100;13440;13340;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";81;100;13340;13240;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";82;100;13240;13140;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";83;100;13140;13040;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";84;100;13040;12940;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";85;100;12940;12840;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";86;100;12840;12740;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";87;100;12740;12640;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";88;100;12640;12560;20;1;1;0;-;False;0;0;False;Normal;Normal;0;"S0x8=20TL"
"0. Normal Oyun";89;100;12560;12460;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";90;100;12460;12360;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";91;100;12360;12260;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";92;100;12260;12160;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";93;100;12160;12060;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";94;100;12060;11960;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";95;100;11960;11920;60;1;1;0;-;False;0;0;False;Normal;Normal;0;"S4x8=60TL"
"0. Normal Oyun";96;100;11920;11880;60;1;1;0;-;False;0;0;False;Normal;Normal;0;"S4x8=60TL"
"0. Normal Oyun";97;100;11880;11890;110;3;3;0;-;False;0;0;False;Normal;Normal;0;"S1x8=30TL | S4x8=60TL | S4x8=20TL"
"0. Normal Oyun";98;100;11890;12510;720;2;2;3;DOGAL;False;0;0;False;MegaWin;Normal;0;"S0x10=50TL | S0x8=40TL"
"0. Normal Oyun";99;100;12510;12410;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";100;100;12410;12360;50;1;1;0;-;False;0;0;False;Normal;Normal;0;"S3x9=50TL"
"1. Alıştırma";1;100;10000;10400;500;1;1;0;-;False;0;0;False;MegaWin;Normal;11;"S7x11=500TL"
"1. Alıştırma";2;100;10400;10800;500;1;1;0;-;False;0;0;False;MegaWin;Normal;1;"S5x12=500TL"
"1. Alıştırma";3;100;10800;11200;500;1;1;0;-;False;0;0;False;MegaWin;Normal;1;"S7x10=500TL"
"1. Alıştırma";4;100;11200;11600;500;1;1;0;-;False;0;0;False;MegaWin;Normal;1;"S7x10=500TL"
"1. Alıştırma";5;100;11600;12000;500;1;1;0;-;False;0;0;False;MegaWin;Normal;1;"S5x15=500TL"
"1. Alıştırma";6;100;12000;12400;500;1;1;0;-;False;0;0;False;MegaWin;Normal;2;"S7x10=500TL"
"1. Alıştırma";7;100;12400;12700;400;1;1;2;DOGAL;False;0;0;False;BigWin;Normal;1;"S5x11=200TL"
"1. Alıştırma";8;100;12700;13000;400;1;1;2;DOGAL;False;0;0;False;BigWin;Normal;1;"S2x12=200TL"
"1. Alıştırma";9;100;13000;13400;500;3;3;5;DOGAL;False;0;0;False;MegaWin;Normal;3;"S0x8=20TL | S0x8=30TL | S0x8=50TL"
"1. Alıştırma";10;100;13400;13800;500;1;1;0;-;False;0;0;False;MegaWin;Normal;1;"S7x10=500TL"
"1. Alıştırma";11;100;13800;14200;500;1;1;0;-;False;0;0;False;MegaWin;Normal;1;"S5x13=500TL"
"1. Alıştırma";12;100;14200;14550;450;1;1;3;DOGAL;False;0;0;False;BigWin;Normal;1;"S7x9=150TL"
"1. Alıştırma";13;100;14550;14950;500;1;1;5;DOGAL;False;0;0;False;MegaWin;Normal;1;"S0x10=50TL"
"1. Alıştırma";14;100;14950;15350;500;1;1;0;-;False;0;0;False;MegaWin;Normal;2;"S7x10=500TL"
"1. Alıştırma";15;100;15350;15650;400;4;4;0;-;False;0;0;False;BigWin;Normal;3;"S4x13=300TL | S3x8=50TL | S4x8=20TL | S4x8=30TL"
"1. Alıştırma";16;100;15650;16050;500;1;1;0;-;False;0;0;False;MegaWin;Normal;1;"S7x11=500TL"
"1. Alıştırma";17;100;16050;16450;500;1;1;0;-;False;0;0;False;MegaWin;Normal;0;"S7x10=500TL"
"1. Alıştırma";18;100;16450;16850;500;1;1;0;-;False;0;0;False;MegaWin;Normal;1;"S7x11=500TL"
"1. Alıştırma";19;100;16850;17250;500;1;1;0;-;False;0;0;False;MegaWin;Normal;1;"S5x12=500TL"
"1. Alıştırma";20;100;17250;17650;500;1;1;0;-;False;0;0;False;MegaWin;Normal;1;"S7x10=500TL"
"1. Alıştırma";21;100;17650;17950;400;3;3;2;DOGAL;False;0;0;False;BigWin;Normal;3;"S3x9=50TL | S3x8=20TL | S3x8=30TL"
"1. Alıştırma";22;100;17950;18250;400;1;1;5;DOGAL;False;0;0;False;BigWin;Normal;6;"S2x10=80TL"
"1. Alıştırma";23;100;18250;18650;500;1;1;0;-;False;0;0;False;MegaWin;Normal;1;"S7x10=500TL"
"1. Alıştırma";24;100;18650;19000;450;2;2;5;DOGAL;False;0;0;False;BigWin;Normal;1;"S1x17=70TL | S0x8=20TL"
"1. Alıştırma";25;100;19000;19400;500;1;1;0;-;False;0;0;False;MegaWin;Normal;6;"S7x11=500TL"
"1. Alıştırma";26;100;19400;19730;430;5;5;0;-;False;0;0;False;BigWin;Normal;3;"S2x13=200TL | S2x8=30TL | S2x8=80TL | S2x9=20TL | S2x8=100TL"
"1. Alıştırma";27;100;19730;20130;500;1;1;0;-;False;0;0;False;MegaWin;Normal;0;"S5x12=500TL"
"1. Alıştırma";28;100;20130;20530;500;1;1;5;DOGAL;False;0;0;False;MegaWin;Normal;3;"S0x12=100TL"
"1. Alıştırma";29;100;20530;20930;500;1;1;0;-;False;0;0;False;MegaWin;Normal;2;"S7x11=500TL"
"1. Alıştırma";30;100;20930;21330;500;1;1;0;-;False;0;0;False;MegaWin;Normal;2;"S7x10=500TL"
"1. Alıştırma";31;100;21330;21730;500;1;1;0;-;False;0;0;False;MegaWin;Normal;5;"S5x13=500TL"
