Senaryo;Spin;ToplamBahis;ToplamKazanc;NetKar;RTP%;CarpanDus%;ClusterPatla%;BonusTetik;MaxKazanc;MaxArdKayip;MaxArdKazanc;KacisTetik;OrtSureMs
0. Normal Oyun;100;10000;12360;2360;123,6;12,0;36,0;2;1690;10;4;0;0,1
1. Alıştırma;100;10000;47690;37690;476,9;41,0;100,0;0;500;0;100;0;1,9
2. Biraz Kazandıralım;100;10000;46400;36400;464,0;61,0;100,0;0;800;0;100;0;1,6
3. Biraz Kaybettirelim;100;10000;2710;-7290;27,1;0,0;71,0;0;80;2;12;0;0,1
4. Az Kazandıralım Çok Kaybettirelim;100;10000;2000;-8000;20,0;0,0;100,0;0;20;0;100;0;0,0
5. Büyük Tekliflerle Parasını Alalım;100;10000;20530;10530;205,3;0,0;100,0;2;310;0;100;0;0,0
