Senaryo;SpinNo;Bahis;BakiyeOnce;BakiyeSonra;Odenen;Cluster;Tumble;CarpanDeger;CarpanKaynak;Bonus;BonusOdenen;ArdKayipOnce;Kacis;Kategori;SpinTipi;SureMs;ClusterDetay
"0. Normal Oyun";1;100;10000;9940;40;1;1;0;-;False;0;0;False;Normal;Normal;0;"S2x8=40TL"
"0. Normal Oyun";2;100;9940;9840;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";3;100;9840;9740;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";4;100;9740;9670;30;1;1;0;-;False;0;0;False;Normal;Normal;1;"S1x8=30TL"
"0. Normal Oyun";5;100;9670;9570;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";6;100;9570;9470;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";7;100;9470;9400;30;1;1;0;-;False;0;0;False;Normal;Normal;0;"S1x8=30TL"
"0. Normal Oyun";8;100;9400;9300;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";9;100;9300;9350;150;1;1;3;DOGAL;False;0;0;False;Normal;Normal;0;"S3x8=50TL"
"0. Normal Oyun";10;100;9350;9250;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";11;100;9250;9150;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";12;100;9150;9080;30;1;1;0;-;False;0;0;False;Normal;Normal;0;"S1x8=30TL"
"0. Normal Oyun";13;100;9080;8980;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";14;100;8980;8880;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";15;100;8880;8860;80;2;2;0;-;False;0;0;False;Normal;Normal;0;"S0x8=20TL | S4x8=60TL"
"0. Normal Oyun";16;100;8860;8810;50;2;2;0;-;False;0;0;False;Normal;Normal;0;"S0x8=20TL | S1x8=30TL"
"0. Normal Oyun";17;100;8810;8730;20;1;1;0;-;False;0;0;False;Normal;Normal;0;"S0x8=20TL"
"0. Normal Oyun";18;100;8730;8630;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";19;100;8630;8530;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";20;100;8530;8530;100;1;1;2;DOGAL;False;0;0;False;Normal;Normal;0;"S3x8=50TL"
"0. Normal Oyun";21;100;8530;8560;130;2;2;0;-;False;0;0;False;Normal;Normal;0;"S1x8=30TL | S6x8=100TL"
"0. Normal Oyun";22;100;8560;8460;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";23;100;8460;8360;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";24;100;8360;8260;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";25;100;8260;8220;60;2;2;0;-;False;0;0;False;Normal;Normal;0;"S0x9=20TL | S2x8=40TL"
"0. Normal Oyun";26;100;8220;8120;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";27;100;8120;8020;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";28;100;8020;7920;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";29;100;7920;7820;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";30;100;7820;7720;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"1. Alıştırma";1;100;10000;10400;500;1;1;0;-;False;0;0;False;MegaWin;Normal;11;"S7x10=500TL"
"1. Alıştırma";2;100;10400;10800;500;1;1;0;-;False;0;0;False;MegaWin;Normal;3;"S7x10=500TL"
"1. Alıştırma";3;100;10800;11200;500;1;1;5;DOGAL;False;0;0;False;MegaWin;Normal;2;"S0x13=100TL"
"1. Alıştırma";4;100;11200;11520;420;1;1;2;DOGAL;False;0;0;False;BigWin;Normal;7;"S1x10=60TL"
"1. Alıştırma";5;100;11520;11820;400;1;1;2;DOGAL;False;0;0;False;BigWin;Normal;1;"S2x10=80TL"
