Senaryo;Spin;ToplamBahis;ToplamKazanc;NetKar;RTP%;CarpanDus%;ClusterPatla%;BonusTetik;MaxKazanc;MaxArdKayip;MaxArdKazanc;KacisTetik;OrtSureMs
0. Normal Oyun;30;3000;720;-2280;24,0;6,7;36,7;0;150;5;3;0;0,0
1. Alıştırma;30;3000;13850;10850;461,7;63,3;100,0;0;500;0;30;0;3,0
2. Biraz Kazandıralım;30;3000;14430;11430;481,0;43,3;100,0;0;770;0;30;0;1,5
3. Biraz Kaybettirelim;30;3000;930;-2070;31,0;0,0;90,0;0;60;2;21;0;0,2
