Senaryo;Spin;ToplamBahis;ToplamKazanc;NetKar;RTP%;CarpanDus%;ClusterPatla%;BonusTetik;MaxKazanc;MaxArdKayip;MaxArdKazanc;KacisTetik;OrtSureMs
0. Normal Oyun;1000;100000;100890;890;100,9;9,2;30,1;22;4680;13;6;0;0,0
1. Alıştırma;1000;100000;473350;373350;473,4;51,8;100,0;0;500;0;1000;0;2,2
2. Biraz Kazandıralım;1000;100000;450750;350750;450,8;49,1;100,0;0;800;0;1000;0;1,4
3. Biraz Kaybettirelim;1000;100000;32510;-67490;32,5;0,0;81,6;0;80;5;36;0;0,1
4. Az Kazandıralım Çok Kaybettirelim;1000;100000;20000;-80000;20,0;0,0;100,0;0;20;0;1000;0;0,0
5. Büyük Tekliflerle Parasını Alalım;1000;100000;205120;105120;205,1;0,0;100,0;10;360;0;1000;0;0,0
