Senaryo;Spin;ToplamBahis;ToplamKazanc;NetKar;RTP%;CarpanDus%;ClusterPatla%;BonusTetik;MaxKazanc;MaxArdKayip;MaxArdKazanc;KacisTetik;OrtSureMs
0. Normal Oyun;30;3000;940;-2060;31,3;0,0;30,0;0;440;6;2;0;0,1
1. Alıştırma;30;3000;14230;11230;474,3;46,7;100,0;0;500;0;30;0;2,5
2. Biraz Kazandıralım;30;3000;14010;11010;467,0;40,0;100,0;0;750;0;30;0;1,6
3. Biraz Kaybettirelim;30;3000;870;-2130;29,0;0,0;73,3;0;60;2;6;0;0,1
